trace_id,time,station_id,lifecycle:transition,concept:name,org:resource,lifecycle
1-p1,2025-09-05T12:30:21.334527,corner2,start,corner2,corner2_START,corner2_START
1-p1,2025-09-05T12:30:23.578343,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
2-p2,2025-09-05T12:30:24.534339,corner2,start,corner2,corner2_START,corner2_START
2-p2,2025-09-05T12:30:26.767478,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
3-p3,2025-09-05T12:30:27.730636,corner2,start,corner2,corner2_START,corner2_START
1-p1,2025-09-05T12:30:28.755610,station11,assign,station11,station11_LOAD,station11_LOAD
3-p3,2025-09-05T12:30:29.984210,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
4-p4,2025-09-05T12:30:30.291591,corner2,start,corner2,corner2_START,corner2_START
1-p1,2025-09-05T12:30:32.160205,station11,start,station11,station11_PROCESS,station11_PROCESS
4-p4,2025-09-05T12:30:32.542293,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
1-p1,2025-09-05T12:32:33.098290,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
2-p2,2025-09-05T12:32:33.863832,station11,assign,station11,station11_LOAD,station11_LOAD
1-p1,2025-09-05T12:32:36.099048,station21,assign,station21,station21_LOAD,station21_LOAD
2-p2,2025-09-05T12:32:37.432329,station11,start,station11,station11_PROCESS,station11_PROCESS
1-p1,2025-09-05T12:32:39.481340,station21,start,station21,station21_PROCESS,station21_PROCESS
2-p2,2025-09-05T12:32:53.667239,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
3-p3,2025-09-05T12:32:54.422574,station11,assign,station11,station11_LOAD,station11_LOAD
2-p2,2025-09-05T12:32:56.577790,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
3-p3,2025-09-05T12:32:57.871939,station11,start,station11,station11_PROCESS,station11_PROCESS
2-p2,2025-09-05T12:32:59.897287,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
2-p2,2025-09-05T12:33:01.539017,station22,assign,station22,station22_LOAD,station22_LOAD
2-p2,2025-09-05T12:33:04.856736,station22,start,station22,station22_PROCESS,station22_PROCESS
3-p3,2025-09-05T12:33:13.866561,station11,complete,station11,station11_TRANSFER,station11_TRANSFER
4-p4,2025-09-05T12:33:14.613336,station11,assign,station11,station11_LOAD,station11_LOAD
3-p3,2025-09-05T12:33:16.576586,station21_pass,start,station21_pass,station21_pass_PASS,station21_pass_PASS
5-p5,2025-09-05T12:33:17.947965,corner2,start,corner2,corner2_START,corner2_START
4-p4,2025-09-05T12:33:18.094614,station11,start,station11,station11_PROCESS,station11_PROCESS
3-p3,2025-09-05T12:33:19.904842,station21_pass,complete,station21_pass,station21_pass_TRANSFER,station21_pass_TRANSFER
5-p5,2025-09-05T12:33:20.169817,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
6-p6,2025-09-05T12:33:21.115761,corner2,start,corner2,corner2_START,corner2_START
3-p3,2025-09-05T12:33:21.552169,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
6-p6,2025-09-05T12:33:23.345892,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
7-p7,2025-09-05T12:33:24.311429,corner2,start,corner2,corner2_START,corner2_START
3-p3,2025-09-05T12:33:24.883184,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
7-p7,2025-09-05T12:33:26.544975,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
1-p1,2025-09-05T12:33:26.881544,station22_pass,start,station22_pass,station22_pass_PASS,station22_pass_PASS
1-p1,2025-09-05T12:33:27.246998,station21,complete,station21,station21_TRANSFER,station21_TRANSFER
8-p8,2025-09-05T12:33:27.483385,corner2,start,corner2,corner2_START,corner2_START
8-p8,2025-09-05T12:33:29.712854,corner2,complete,corner2,corner2_TRANSFER,corner2_TRANSFER
1-p1,2025-09-05T12:33:30.188630,station22_pass,complete,station22_pass,station22_pass_TRANSFER,station22_pass_TRANSFER
